gate_value,label,rsa
0.52763337,0.0,0.0
0.52093875,0.0,0.0
0.54934937,0.0,0.0
0.5255801,0.0,0.0
0.54255056,0.0,0.0
0.5333823,0.0,0.0
0.50486964,0.0,0.0
0.5418211,0.0,0.0
0.52351916,0.0,0.0
0.5312353,0.0,0.0
0.5386468,0.0,0.0
0.52213055,0.0,0.0
0.5366916,0.0,0.0
0.54114723,0.0,0.0
0.541459,1.0,0.0
0.549768,1.0,0.0
0.54356533,1.0,0.0
0.53141445,1.0,0.0
0.54742336,1.0,0.0
0.5290613,1.0,0.0
0.536588,1.0,0.0
0.5397496,1.0,0.0
0.5224736,1.0,0.0
0.5181011,1.0,0.0
0.5245037,1.0,0.0
0.53800106,1.0,0.0
0.52181494,1.0,0.0
0.5390318,0.0,0.0
0.55203,0.0,0.0
0.5350388,1.0,0.0
0.5361707,1.0,0.0
0.5538471,0.0,0.0
0.5172749,1.0,0.0
0.5466622,0.0,0.0
0.540484,0.0,1.0
0.5180304,0.0,0.0
0.5405923,0.0,0.0
0.53091127,1.0,0.0
0.5404101,0.0,0.0
0.5265221,0.0,0.0
0.5386358,0.0,0.0
0.5373007,0.0,1.0
0.54476434,0.0,1.0
0.5364261,0.0,1.0
0.5317642,1.0,1.0
0.5343494,1.0,0.0
0.531054,1.0,0.0
0.525663,1.0,0.0
0.529955,1.0,0.0
0.54743665,1.0,0.0
0.5325894,1.0,1.0
0.5351828,1.0,0.0
0.54285324,1.0,0.0
0.5317679,0.0,0.0
0.54446685,1.0,0.0
0.5471839,1.0,0.0
0.5425159,0.0,0.0
0.53012186,1.0,0.0
0.55141413,0.0,0.0
0.53946066,0.0,0.0
0.51545763,0.0,0.0
0.5423494,0.0,0.0
0.5327177,0.0,0.0
0.49616522,0.0,0.0
0.5290367,0.0,1.0
0.52350813,0.0,0.0
0.5363122,0.0,0.0
0.5161248,0.0,0.0
0.49380842,0.0,0.0
0.5125485,0.0,0.0
0.4888898,0.0,0.0
0.50415206,0.0,0.0
0.50481987,0.0,1.0
0.49229857,0.0,1.0
0.50824887,0.0,0.0
0.5171321,0.0,0.0
0.48597202,0.0,0.0
0.5210311,0.0,0.0
0.49783716,0.0,0.0
0.5237694,0.0,0.0
0.5191921,0.0,0.0
0.5293107,0.0,0.0
0.51334316,0.0,0.0
0.51900864,0.0,0.0
0.53430617,0.0,0.0
0.52750146,0.0,0.0
0.52143174,0.0,0.0
0.5397028,0.0,1.0
0.5334762,0.0,0.0
0.5257892,0.0,0.0
0.5299777,1.0,0.0
0.53242785,1.0,0.0
0.5170049,0.0,0.0
0.5166331,1.0,0.0
0.49383876,0.0,0.0
0.5405418,1.0,0.0
0.5169905,0.0,0.0
0.52490705,0.0,1.0
0.5330336,0.0,1.0
0.5063905,0.0,1.0
0.52259296,1.0,0.0
0.5133861,1.0,0.0
0.5165518,1.0,0.0
0.5156511,0.0,1.0
0.49790287,0.0,0.0
0.525514,1.0,0.0
0.5133322,0.0,0.0
0.518862,1.0,0.0
0.5083649,0.0,1.0
0.52752477,0.0,1.0
0.52179956,1.0,1.0
0.5271538,0.0,1.0
0.5256118,0.0,0.0
0.53622586,0.0,0.0
0.5210687,0.0,0.0
0.5218731,0.0,0.0
0.52152395,0.0,1.0
0.527058,0.0,0.0
0.4908643,0.0,0.0
0.50653565,0.0,1.0
0.5193442,0.0,0.0
0.4946777,0.0,0.0
0.5216173,0.0,0.0
0.52803594,0.0,0.0
0.5061518,0.0,0.0
0.5078158,0.0,0.0
0.51754653,0.0,0.0
0.48290715,0.0,0.0
0.52670133,0.0,0.0
0.48905662,0.0,0.0
0.51457024,0.0,0.0
0.50081176,0.0,1.0
0.4821136,0.0,0.0
0.51563007,0.0,0.0
0.52136767,0.0,0.0
0.5372731,0.0,0.0
0.5071073,0.0,0.0
0.51971924,0.0,0.0
0.506688,0.0,0.0
0.5227417,0.0,0.0
0.4827697,0.0,0.0
0.5228162,1.0,0.0
0.49331033,0.0,0.0
0.5305304,0.0,0.0
0.51228493,0.0,0.0
0.512589,1.0,0.0
0.51874787,1.0,0.0
0.53699124,1.0,1.0
0.5167721,1.0,1.0
0.5082151,1.0,0.0
0.51334536,1.0,0.0
0.5400037,1.0,0.0
0.5272499,0.0,0.0
0.5388265,0.0,0.0
0.52975935,1.0,0.0
0.5278866,0.0,0.0
0.5400013,0.0,0.0
0.523817,0.0,0.0
0.539489,0.0,0.0
0.49536335,0.0,0.0
0.5422181,0.0,0.0
0.50128394,0.0,0.0
0.52323747,0.0,0.0
0.5264317,0.0,0.0
0.50342715,0.0,0.0
